repo_owner,repo_names
antonioCoco,SharPyShell
riganti,dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api
atom,atom
themerdev,themer
miniflux,v2
nteract,hydrogen
shd101wyy,markdown-preview-enhanced
atom,teletype
mmcdole,gofeed
mehcode,awesome-atom
kurtmckee,feedparser
joefitzgerald,go-plus
Glavin001,atom-beautify
simplepie,simplepie
ocaml,merlin
NaiboWang,CommandlineConfig
t9md,atom-vim-mode-plus
MagicStack,MagicPython
atom,apm
file-icons,atom
feeddd,feeds
kettanaito,atomic-layout
sindresorhus,awesome
vinta,awesome-python
awesome-selfhosted,awesome-selfhosted
avelino,awesome-go
trimstray,the-book-of-secret-knowledge
papers-we-love,papers-we-love
521xueweihan,HelloGitHub
Hack-with-Github,Awesome-Hacking
jaywcjlove,awesome-mac
DopplerHQ,awesome-interview-questions
sindresorhus,awesome-nodejs
MunGell,awesome-for-beginners
wasabeef,awesome-android-ui
prakhar1989,awesome-courses
Solido,awesome-flutter
binhnguyennus,awesome-scalability
fffaraz,awesome-cpp
vsouza,awesome-ios
tiimgreen,github-cheat-sheet
dypsilon,frontend-dev-bookmarks
localstack,localstack
serverless,serverless
bregman-arie,devops-exercises
donnemartin,data-science-ipython-notebooks
pulumi,pulumi
ramitsurana,awesome-kubernetes
kubernetes-sigs,kubespray
aws,aws-cli
mozilla,sops
donnemartin,awesome-aws
serverless-stack,sst
apereo,cas
caprover,caprover
aws,aws-cdk
aws,chalice
GoogleCloudPlatform,terraformer
angristan,openvpn-install
aws-amplify,amplify-js
aws,serverless-application-model
google,go-cloud
bregman-arie,devops-exercises
microsoft,recommenders
pulumi,pulumi
ramitsurana,awesome-kubernetes
Azure,azure-quickstart-templates
mozilla,sops
caprover,caprover
microsoft,computervision-recipes
google,go-cloud
infracost,infracost
microsoft,azuredatastudio
node-formidable,formidable
midwayjs,midway
thangchung,clean-code-dotnet
aquasecurity,tfsec
budtmo,docker-android
bridgecrewio,checkov
nccgroup,ScoutSuite
cloud-custodian,cloud-custodian
turbot,steampipe
babel,babel
swc-project,swc
nylas,nylas-mail
kriasoft,react-starter-kit
electron-react-boilerplate,electron-react-boilerplate
avajs,ava
SimulatedGREG,electron-vue
grab,front-end-guide
jamiebuilds,babel-handbook
grommet,grommet
developit,htm
ben-rogerson,twin.macro
angular-fullstack,generator-angular-fullstack
documentationjs,documentation
insin,nwb
thinkjs,thinkjs
egoist,poi
fkling,astexplorer
transitive-bullshit,create-react-library
babel,babel-loader
jlevy,the-art-of-command-line
nvm-sh,nvm
junegunn,fzf
google,zx
dylanaraps,pure-bash-bible
LeCoupa,awesome-cheatsheets
starship,starship
koalaman,shellcheck
acmesh-official,acme.sh
mathiasbynens,dotfiles
alebcay,awesome-shell
jaywcjlove,linux-command
withfig,autocomplete
dylanaraps,neofetch
Nyr,openvpn-install
rbenv,rbenv
powerline,powerline
shelljs,shelljs
Bash-it,bash-it
faressoft,terminalizer
bitcoin,bitcoin
ccxt,ccxt
freqtrade,freqtrade
HelloZeroNet,ZeroNet
askmike,gekko
solana-labs,solana
bbfamily,abu
dvf,blockchain
lbryio,lbry-sdk
lightningnetwork,lnd
yeasy,blockchain_guide
spesmilo,electrum
butor,blackbird
btcsuite,btcd
bitcoinjs,bitcoinjs-lib
bitcoinj,bitcoinj
jesse-ai,jesse
CryptoSignal,Crypto-Signal
bisq-network,bisq
btcpayserver,btcpayserver
twbs,bootstrap
ColorlibHQ,AdminLTE
tabler,tabler
mdbootstrap,mdb-ui-kit
react-bootstrap,react-bootstrap
ColorlibHQ,gentelella
verekia,js-stack-from-scratch
bootstrap-vue,bootstrap-vue
thomaspark,bootswatch
selectize,selectize.js
uxsolutions,bootstrap-datepicker
coreui,coreui-free-bootstrap-admin-template
wenzhixin,bootstrap-table
reactstrap,reactstrap
Templarian,MaterialDesign
snapappointments,bootstrap-select
mdbootstrap,material-design-for-bootstrap
StartBootstrap,startbootstrap-sb-admin-2
ng-bootstrap,ng-bootstrap
BlackrockDigital,startbootstrap
ccxt,ccxt
discordjs,discord.js
python-telegram-bot,python-telegram-bot
hubotio,hubot
RasaHQ,rasa
InstaPy,InstaPy
wechaty,wechaty
gunthercox,ChatterBot
tgbot-collection,YYeTsBot
Rapptz,discord.py
leon-ai,leon
howdyai,botkit
botpress,botpress
sfyc23,EverydayWechat
pedroslopez,whatsapp-web.js
microsoft,ailab
microsoft,botframework-sdk
EZFNDEV,EZFN-Lobbybot
yagop,node-telegram-bot-api
Mrs4s,go-cqhttp
Genymobile,scrcpy
neovim,neovim
git,git
obsproject,obs-studio
fffaraz,awesome-cpp
serhii-londar,open-source-mac-os-apps
FFmpeg,FFmpeg
vim,vim
curl,curl
huihut,interview
ggreer,the_silver_searcher
pbatard,rufus
mpv-player,mpv
ossrs,srs
ruby,ruby
google,flatbuffers
oracle,graal
microsoft,vcpkg
radareorg,radare2
kovidgoyal,kitty
electron,electron
puppeteer,puppeteer
microsoft,playwright
FiloSottile,mkcert
iamadamdev,bypass-paywalls-chrome
ovity,octotree
jaywcjlove,linux-command
segmentio,nightmare
checkly,headless-recorder
google,WebFundamentals
prisma-archive,chromeless
GoogleChrome,chrome-extensions-samples
casesandberg,react-color
crimx,ext-saladict
gildas-lormeau,SingleFile
MetaMask,metamask-extension
chromedp,chromedp
uBlock-LLC,uBlock
alvarcarto,url-to-pdf-api
moonD4rk,HackBrowserData
iamadamdev,bypass-paywalls-chrome
jaywcjlove,linux-command
refined-github,refined-github
darkreader,darkreader
checkly,headless-recorder
unbug,codelf
Anarios,return-youtube-dislike
crimx,ext-saladict
gildas-lormeau,SingleFile
dailydotdev,daily
listen1,listen1_chrome_extension
appbaseio,dejavu
alyssaxuu,screenity
Kenshin,simpread
ajayyy,SponsorBlock
AutomaApp,automa
alyssaxuu,omni
dessant,buster
manojVivek,medium-unlimited
webclipper,web-clipper
ohmyzsh,ohmyzsh
junegunn,fzf
sharkdp,bat
sherlock-project,sherlock
google,zx
wagoodman,dive
BurntSushi,ripgrep
chubin,cheat.sh
jesseduffield,lazygit
cli,cli
spf13,cobra
n8n-io,n8n
angular,angular-cli
alebcay,awesome-shell
sharkdp,fd
httpie,httpie
ibraheemdev,modern-unix
tqdm,tqdm
google,python-fire
vercel,pkg
metabase,metabase
penpot,penpot
logseq,logseq
deeplearning4j,deeplearning4j
LightTable,LightTable
kanaka,mal
lk-geimfari,awesomo
tonsky,datascript
reagent-project,reagent
riemann,riemann
weavejester,compojure
bbatsov,clojure-style-guide
izhangzhihao,intellij-rainbow-brackets
status-im,status-mobile
ring-clojure,ring
clojure-emacs,cider
babashka,babashka
viebel,klipse
tallesl,Rich-Hickey-fanclub
bhauman,lein-figwheel
realm,SwiftLint
facebook,infer
analysis-tools-dev,static-analysis
Kristories,awesome-guidelines
checkstyle,checkstyle
SonarSource,sonarqube
facebook,pyre-check
reviewdog,reviewdog
detekt,detekt
simplecov-ruby,simplecov
import-js,eslint-plugin-import
PyCQA,pylint
pmd,pmd
trekhleb,state-of-the-art-shitcode
phpro,grumphp
kucherenko,jscpd
htmlhint,HTMLHint
codeclimate,codeclimate
wemake-services,wemake-python-styleguide
uber,piranha
ovity,octotree
gitpod-io,gitpod
reviewdog,reviewdog
danger,danger
danger,danger-js
joho,awesome-code-review
ajinabraham,nodejsscan
microsoft,vscode-pull-request-github
houndci,hound
mbj,mutant
crev-dev,cargo-crev
reviewboard,reviewboard
Tencent,CodeAnalysis
ryanmcdermott,code-review-tips
bit4woo,python_sec
code-review-checklists,java-concurrency
jiangsir404,Audit-Learning
TeamCodeStream,codestream
enlightn,enlightn
palantir,policy-bot
